0
(0,0)
(1,0)
(0.00673359,0)
(0.360893,0)
(0.111079,0)
(0.152726,0)
(0.101871,0)
(0.155996,0)
(0.0262268,0)
(0.14103,0)
(0.0142483,0)
(0.0992556,0)
(0.0261215,0)
(0.0685462,0)
(0.0030781,0)
(0.0672874,0)
(0.00891097,0)
(0.0580313,0)
(0.00629606,0)
(0.0477736,0)
(0.00382423,0)
(0.0397635,0)
(0.00598936,0)
(0.0436912,0)
(0.0033737,0)
(0.0410076,0)
(0.000781768,0)
(0.0349633,0)
(0.00374076,0)
(0.0356613,0)
(0.00373589,0)
(0.0372407,0)
(0.000380817,0)
(0.033828,0)
(0.00349071,0)
(0.0308302,0)
(0.00267967,0)
(0.0318299,0)
(0.00132274,0)
(0.0291926,0)
(0.000971946,0)
(0.0282381,0)
(0.00299641,0)
(0.025912,0)
(0.000338371,0)
(0.0265043,0)
(0.00140229,0)
(0.0257419,0)
(0.00146796,0)
(0.0229316,0)
(0.00143411,0)
(0.0248119,0)
(0.000477009,0)
(0.0242991,0)
(0.000933087,0)
(0.023921,0)
(0.000310956,0)
(0.0226698,0)
(0.00225221,0)
(0.0247542,0)
(0.000540827,0)
(0.0247062,0)
(0.000980682,0)
(0.023681,0)
0
(0,0)
(1,0)
(0.0272413,0)
(0.317101,0)
(0.100392,0)
(0.139291,0)
(0.107681,0)
(0.18306,0)
(0.0186222,0)
(0.134088,0)
(0.0104335,0)
(0.0978995,0)
(0.0298532,0)
(0.0902937,0)
(0.013926,0)
(0.0860798,0)
(0.00862761,0)
(0.0677073,0)
(0.0121949,0)
(0.0608382,0)
(0.0115313,0)
(0.0613949,0)
(0.00525507,0)
(0.0527535,0)
(0.00841885,0)
(0.0473643,0)
(0.00900897,0)
(0.0476722,0)
(0.00511748,0)
(0.0439287,0)
(0.00619357,0)
(0.0404268,0)
(0.00745771,0)
(0.0392471,0)
(0.00478468,0)
(0.0389424,0)
(0.00452707,0)
(0.0352723,0)
(0.00592627,0)
(0.0347415,0)
(0.00566991,0)
(0.0350729,0)
(0.00408536,0)
(0.0329161,0)
(0.00561905,0)
(0.031199,0)
(0.00530343,0)
(0.0320905,0)
(0.00332006,0)
(0.0300339,0)
(0.0056456,0)
(0.0308836,0)
(0.00486604,0)
(0.0302269,0)
(0.00392188,0)
(0.029234,0)
(0.00395753,0)
(0.0290186,0)
(0.0048888,0)
(0.0289846,0)
(0.00372705,0)
(0.028956,0)
(0.00421132,0)
(0.0280887,0)
0
(0,0)
(1,0)
(0.0305626,0)
(0.388356,0)
(0.0391045,0)
(0.22894,0)
(0.104219,0)
(0.117562,0)
(0.055159,0)
(0.0985676,0)
(0.0331487,0)
(0.0988893,0)
(0.0126436,0)
(0.0763643,0)
(0.0151175,0)
(0.0597529,0)
(0.0135717,0)
(0.0478018,0)
(0.0125314,0)
(0.0443465,0)
(0.00504805,0)
(0.0431574,0)
(0.00248142,0)
(0.0412316,0)
(0.00406998,0)
(0.0350204,0)
(0.00448316,0)
(0.0324262,0)
(0.00550657,0)
(0.031486,0)
(0.00616322,0)
(0.0320323,0)
(0.00394512,0)
(0.0313745,0)
(0.00441012,0)
(0.0300216,0)
(0.00474488,0)
(0.0270627,0)
(0.00597607,0)
(0.0269514,0)
(0.00498957,0)
(0.0261472,0)
(0.00327449,0)
(0.0263258,0)
(0.00387141,0)
(0.0244551,0)
(0.00290952,0)
(0.0239106,0)
(0.00472739,0)
(0.0219523,0)
(0.00285071,0)
(0.0228137,0)
(0.00306583,0)
(0.0224814,0)
(0.00199295,0)
(0.0229897,0)
(0.00339509,0)
(0.0220377,0)
(0.00381705,0)
(0.0212826,0)
(0.00373816,0)
(0.0220639,0)
(0.00298463,0)
(0.0222439,0)
1
(0,0)
(1,0)
(0.0462253,0)
(0.332221,0)
(0.0937297,0)
(0.289904,0)
(0.0201014,0)
(0.177556,0)
(0.00939204,0)
(0.137588,0)
(0.0200645,0)
(0.106732,0)
(0.0195041,0)
(0.0837619,0)
(0.0139054,0)
(0.0742256,0)
(0.0180892,0)
(0.0652219,0)
(0.0108944,0)
(0.0574467,0)
(0.0114009,0)
(0.0565405,0)
(0.00708934,0)
(0.0520998,0)
(0.00610975,0)
(0.0490668,0)
(0.00604368,0)
